Frequency,Word,Reading,Type,Meaning
2487,重視,,noun,respect
2487,重視する,,verb,"make a point of, consider important"
2488,複数,,noun,plural
2489,三十,,numeral,thirty
2490,興奮,,noun,excitement
2490,興奮する,,verb,be excited
2491,突っ込む,,verb,"thrust, stick; dip; shove"
2492,牛,,noun,"cattle, cow, ox"
2493,鏡,,noun,mirror
2494,ないし,,conjunction,"or, otherwise"
2495,二千年,,noun,2000 (year); two thousand years
2496,煙,,noun,"smoke, fumes; fog"
2497,参照,,noun,reference
2497,参照する,,verb,"consult, refer"
2498,価値観,,noun,sense of values
2499,バター,,noun,butter
2500,スープ,,noun,soup
2501,自殺,,noun,suicide
2501,自殺する,,verb,commit suicide
2502,トラック,,noun,truck
2503,委員,,noun,committee member; councillor
2504,行政,,noun,"administration, government"
2505,一年生,,noun,"first grade, first year"
2506,犯す,,verb,"commit, offend; break"
2507,膨らむ,,verb,"swell, expand"
2508,とうとう,,adverb,finally
2509,このごろ,,noun,these days
2510,女子,,noun,"woman, girl"
2511,JR (JR),,noun,Japan Railways (JR)
2512,言語,,noun,"language, tongue, speech"
2513,とる,,auxiliary,[shortened form of “teoru”]
2514,以来,,noun,since
2515,市内,,noun,within the city
2516,しかしながら,,auxiliary,"however, but"
2517,針,,noun,needle; stitch
2518,集団,,noun,"group, mass"
2519,体調,,noun,physical condition
2520,三年間,,noun,three years
2521,手前,,noun,this side
2522,幼い,,i-adjective,"young, immature, childish"
2523,説,,noun,theory; explanation
2524,神社,,noun,shrine
2525,列車,,noun,train
2526,夢中,,"noun, na-adjective","crazy about, obsessed with"
2527,トレーニング,,noun,training
2528,よほど、よっぽど,,adverb,"very, greatly"
2529,どうせ,,adverb,anyway
2530,坂,,noun,"slope, hill"
2531,検索,,noun,search
2531,検索する,,verb,"search, look up"
2532,アップ,,noun,raise
2532,アップする,,verb,go up
2533,絶える,,verb,"cease, fail"
2534,三十一日,,noun,thirty-first (date); thirty one days
2535,取材,,noun,"interview, report"
2535,取材する,,verb,gather information
2536,ぶつかる,,verb,"strike, bump, collide"
2537,曲がる,,verb,"bend, wind; turn"
2538,ては,,"particle, conjunction",alternately do ... and ...
2539,前年,,noun,"previous year, year before"
2540,飽きる,,verb,"tire, weary, be tired of, get bored"
2541,三十日,,noun,thirtieth (date); thirty days
2542,分類,,noun,classification
2542,分類する,,verb,classify
2543,どっち,,pronoun,which
2544,自分なり,,noun,in one’s own way
2545,覚悟,,noun,"readiness, preparedness"
2545,覚悟する,,verb,be ready
2546,糸,,noun,"thread, string"
2547,逮捕,,noun,arrest
2547,逮捕する,,verb,arrest
2548,収まる,,verb,"hold, pack"
2549,交渉,,noun,"negotiation, treaty"
2549,交渉する,,verb,negotiate
2550,枝,,noun,"branch, twig, bough"
2551,なにより,,adverb,"above all, chiefly, more than anything"
2552,教科書,,noun,textbook
2553,六時,,noun,six o’clock
2554,取り引き,,noun,"business, dealing, trade"
2555,免許,,noun,"license, permit"
2556,講ずる,,verb,take
2557,太い,,i-adjective,thick; heavy; bold
2558,開く,あく,verb,open
2559,及ぼす,,verb,"influence, affect"
2560,千円,,noun,one thousand yen
2561,独自,,na-adjective,"original, own"
2562,夕食,,noun,dinner
2563,震える,,verb,"shake, tremble"
2564,心臓,,noun,heart
2565,世界的,,na-adjective,"world, global"
2566,所属,,noun,affiliation
2566,所属する,,verb,"attach, be attached, belong"
2567,騒ぐ,,verb,"make a noise, make a fuss"
2568,そっと,,adverb,"softly, lightly"
2569,溜める,,verb,"save, store, accumulate"
2570,晩,,noun,"night, evening"
2571,小屋,,noun,"hut, cabin, barn, shed"
2572,会議,,noun,meeting
2573,個性,,noun,"personality, character"
2574,たがる,,auxiliary,want to
2575,理想,,noun,"ideal, dream"
2576,給料,,noun,salary
2577,マスコミ,,noun,"mass media, mass communication"
2578,おい,,interjection,hey
2579,屋根,,noun,roof
2580,クリスマス,,noun,Christmas
2581,重なる,,verb,pile up; conspire
2582,各地,,noun,each place
2583,落ち込む,,verb,"sink, go down; be depressed"
2584,進化,,noun,evolution
2584,進化する,,verb,"evolve, develop"
2585,とんでも,,adverb,"unexpected; outrageous, very offensive"
2586,思い付く,,verb,"think of, guess, conceive"
2587,新幹線,,noun,bullet train
2588,第三,,noun,third
2589,数える,,verb,"count, number"
2590,公開,,noun,"exhibition, presentation"
2590,公開する,,verb,release
2591,地面,,noun,"ground, land"
2592,貢献,,noun,"contribution, service"
2592,貢献する,,verb,contribute
2593,台風,,noun,typhoon
2594,映る,,verb,reflect
2595,大臣,,noun,"Cabinet minister, minister of state"
2596,十四,,numeral,fourteen
2597,入学,,noun,"(school etc.) entrance, admission"
2597,入学する,,verb,enter (school etc.)
2598,紅茶,,noun,tea (black)
2599,控える,,verb,"abstain, hold back, refrain"
2600,促す,,verb,urge
2601,何事,,noun,what
2602,プレゼント,,noun,present
2603,配る,,verb,"deal, distribute, deliver"
2604,改革,,noun,reform
2604,改革する,,verb,make reforms
2605,一致,,noun,"agreement, accord"
2605,一致する,,verb,"consent, agree"
2606,ゼロ,,noun,zero
2607,義務,,noun,"duty, obligation"
2608,出席,,noun,attendance
2608,出席する,,verb,attend
2609,十人,,noun,ten people
2610,処分,,noun,"disposal, disposition"
2610,処分する,,verb,dispose of
2611,年間,,noun,year; annual
2612,広島,,noun,Hiroshima
2613,NHK (NHK),,noun,Nihon Hoso Kyokai (Japan Broadcasting Corporation)
2614,設計,,noun,"plan, design"
2614,設計する,,verb,"plan, design"
2615,飛び込む,,verb,"dive, plunge"
2616,邪魔,,noun,"obstacle, disturbance, interruption"
2616,邪魔する,,verb,"disturb, interrupt"
2617,ゆでる,,verb,boil
2618,プール,,noun,pool
2619,弁護士,,noun,"lawyer, counsellor"
2620,叱る,,verb,"scold, admonish"
2621,恋人,,noun,"lover, boyfriend, girlfriend"
2622,暮らし,,noun,"life, livelihood"
2623,王,,noun,"king, monarch"
2624,真似,,noun,"imitation, mimicry, impersonation"
2624,真似する,,verb,"imitate, copy"
2625,税金,,noun,tax
2626,預ける,,verb,"leave, check, deposit"
2627,軟らかい,,i-adjective,"soft, tender"
2628,物事,,noun,thing
2629,相変わらず,,adverb,"as ever, as usual, the same, as before [always]"
2630,年金,,noun,"pension, annuity"
2631,やりとり,,noun,"exchange, interchange"
2632,ホーム,,noun,platform
2633,頼る,,verb,"depend, turn to, trust"
2634,学生時代,,noun,"student days, university days"
2635,憧れ,,noun,admiration
2636,内側,,noun,"inside, interior, inner"
2637,講師,,noun,"speaker, lecturer"
2638,池,,noun,pond
2639,接続,,noun,connection
2639,接続する,,verb,connect
2640,役者,,noun,"actor, actress"
2641,光る,,verb,"shine, glitter, twinkle"
2642,富士山,,noun,Mt. Fuji
2643,必要性,,noun,necessity
2644,七時,,noun,seven o’clock
2645,としたら,,conjunctive particle,if so
2646,出演,,noun,"appearance, broadcast"
2646,出演する,,verb,"appear (on stage, TV)"
2647,柱,,noun,"pillar, post"
2648,間に合う,,verb,"catch, get, make it"
2649,年代,,noun,era; generation; date
2650,鉄,,noun,"iron, steel"
2651,継続,,noun,continuation
2651,継続する,,verb,continue
2652,特殊,,na-adjective,special
2653,引き上げる,,verb,"pull up; increase, raise"
2654,スペイン,,noun,Spain
2655,裁判,,noun,trial; judgment; justice
2656,はあ,,interjection,"oh, Oh boy, Oh dear"
2657,上回る,,verb,"exceed, surpass"
2658,地下鉄,,noun,"subway, underground"
2659,専門家,,noun,"expert, specialist"
2660,内部,,noun,"inside, interior"
2661,割る,,verb,break; crack
2662,スペース,,noun,"space, room"
2663,結果的,,na-adjective,result
2664,飲める,,verb,be able to drink
2665,割,,noun,"cost, rate"
2666,日記,,noun,diary
2667,担う,,verb,"cover, carry, take"
2668,揺れる,,verb,"shake, wave, swing"
2669,彼,かれ,pronoun,he; boyfriend
2670,一匹,,noun,one (animal)
2671,憲法,,noun,constitution
2672,件,,noun,"affair, matter, issue"
2673,江戸時代,,noun,Edo era
2674,むく,,verb,"peel, pare"
2675,親切,,na-adjective,kind
2676,埼玉県,,noun,Saitama prefecture
2677,急速,,na-adjective,"rapid, speedy"
2678,燃える,,verb,"burn, flame, glow, be on fire"
2679,末,すえ,noun,"end, last"
2680,胃,,noun,"stomach, belly"
2681,九州,,noun,Kyushu
2682,ブログ,,noun,blog
2683,にすぎない,,auxiliary,"just, mere"
2684,想定,,noun,"assumption, supposition"
2684,想定する,,verb,"assume, suppose"
2685,学習,,noun,"learning, study"
2685,学習する,,verb,"learn, study"
2686,ケーキ,,noun,cake
2687,六年,,noun,six years
2688,袋,,noun,"bag, sack, pouch"
2689,医療,,noun,"medical care, medical treatment"
2690,増大,,noun,"increase, growth; increase, grow"
2691,競争,,noun,"competition, contest"
2691,競争する,,verb,compete
2692,投資,,noun,investment
2692,投資する,,verb,invest
2693,ほっとする,,verb,be relieved
2694,お土産,,noun,"present, souvenir"
2695,記述,,noun,"description, account"
2695,記述する,,verb,describe
2696,謝る,,verb,apologize
2697,にもかかわらず,,conjunctive particle,"in spite of, though, despite"
2698,獲得,,noun,acquisition
2698,獲得する,,verb,"get, gain"
2699,見直す,,verb,"review, look over"
2700,無人,,noun,"uninhabited, empty"
2701,心がける,,verb,"be careful, be prudent"
2702,テープ,,noun,tape
2703,七日,,noun,seventh (date); seven days
2704,二つ目,,noun,second
2705,板,,noun,"board, plate"
2706,自慢,,noun,"pride, boast"
2706,自慢する,,verb,"boast, brag"
2707,前項,,noun,previous page
2708,選挙,,noun,election
2709,更新,,noun,renewal
2709,更新する,,verb,"renew, update"
2710,IT (IT),,noun,IT
2711,あちら,,pronoun,"that way; that place, there; that"
2712,受け止める,,verb,"take, catch"
2713,景気,,noun,"business conditions, economy"
2714,二十五日,,noun,twenty-fifth (date); twenty-five days
2715,根拠,,noun,"ground, evidence"
2716,チケット,,noun,ticket
2717,民間,,noun,"private, non government"
2718,口調,,noun,"tone, voice"
2719,ふさわしい,,i-adjective,"suitable, appropriate"
2720,といっても,,particle,even though
2721,眼鏡,,noun,"glasses, spectacles"
2722,脇,,noun,side
2723,持ち込む,,verb,"bring, import"
2724,全身,,noun,"all over, whole body"
2725,兄さん,,noun,elder brother
2726,予測,,noun,prospect
2726,予測する,,verb,"predict, estimate"
2727,あれ,,interjection,Oh
2728,つながり,,noun,"connection, relation"
2729,欠ける,,verb,lack; chip
2730,嫌う,,verb,"hate, detest"
2731,保険料,,noun,insurance premium
2732,飛ばす,,verb,"let fly, fly"
2733,教わる,,verb,learn
2734,三十年,,noun,thirty years
2735,後半,,noun,"latter half, second half"
2736,たく,,verb,burn
2737,何日,,noun,many days; how many days
2738,防止,,noun,prevention
2738,防止する,,verb,prevent
2739,遺伝子,,noun,gene
2740,本屋,,noun,bookshop
2741,明日,,noun,tomorrow
2742,早め,,noun,early
2743,独特,,na-adjective,"peculiar, unique; personal"
2744,今夜,,noun,tonight
2745,ゆえ,,noun,reason; therefore
2746,リズム,,noun,rhythm
2747,突く,つく,verb,push; prick
2748,魂,,noun,"soul, spirit"
2749,滞在,,noun,"stay, visit"
2749,滞在する,,verb,"stay, visit, stop"
2750,連携,,noun,cooperation
2750,連携する,,verb,work together with
2751,ライブ,,noun,live (music)
2752,演ずる,,verb,"play, perform"
2753,廃止,,noun,abolition
2753,廃止する,,verb,repeal
2754,復活,,noun,"revival, restoration"
2754,復活する,,verb,"revive, restore"
2755,借金,,noun,"debt, loan"
2755,借金する,,verb,borrow (money)
2756,常識,,noun,"common sense, general knowledge"
2757,闇,,noun,"darkness, dark"
2758,見守る,,verb,"watch, observe"
2759,不便,,noun,inconvenience
2759,不便,,na-adjective,inconvenient
2760,栄養,,noun,nutrition
2761,フランス語,,noun,French language
2762,アクセス,,noun,access
2763,PC (PC),,noun,personal computer
2764,不幸,,na-adjective,"unhappiness, misfortune"
2765,こだわる,,verb,stick to; be particular about
2766,カット,,noun,cut
2767,乾く,,verb,dry
2768,おまけ,,noun,"addition, free gift"
2769,をはじめ,,particle,"starting with ... , including"
2770,ついで,,noun,"on one’s way, along the way"
2771,名称,,noun,name
2772,鍛える,,verb,"train, discipline"
2773,大学生,,noun,"college student, university student"
2774,左手,,noun,left hand; on one’s left
2775,乾燥,,noun,dryness
2775,乾燥する,,verb,dry
2776,たった,,adverb,"just, only"
2777,およそ,,adverb,"around, about"
2778,八日,,noun,eighth (date); eight days
2779,ぴったり,,adverb,tight; exactly
2780,添える,,verb,"attach, add"
2781,ノート,,noun,notebook
2782,配置,,noun,"arrangement, layout"
2782,配置する,,verb,arrange
2783,輸出,,noun,exportation
2783,輸出する,,verb,export
2784,陰,,noun,"shade, shadow; behind someone’s back"
2785,漬ける,,verb,soak; pickle
2786,果物,,noun,fruit
2787,個々,,noun,"individual, each"
2788,十六日,,noun,sixteenth (date); sixteen days
2789,電話番号,,noun,telephone number
2790,混む,,verb,be crowded
2791,築く,,verb,"build, have"
2792,穏やか,,na-adjective,"mild; calm, peaceful"
2793,結び付く,,verb,"join, be connected with"
2794,崩れる,,verb,"crumble, collapse"
2795,届ける,,verb,deliver; send; report
2796,プレー,,noun,play
2797,進歩,,noun,"progress, advance"
2797,進歩する,,verb,"progress, advance"
2798,百,,noun,hundred
2799,（お）尻,,noun,hips
2800,汚れる,よごれる,verb,"dirty, soil"
2801,産業,,noun,industry
2802,前日,,noun,"eve, previous day"
2803,吸収,,noun,"absorption, assimilation"
2803,吸収する,,verb,"absorb, assimilate"
2804,驚き,,noun,"surprise, amazement"
2805,ソ連,,noun,the Soviet Union
2806,悲しみ,,noun,"sadness, grief"
2807,十一日,,noun,eleventh (date); eleven days
2808,最低,,noun,"minimum, lowest"
2809,十六,,numeral,sixteen
2810,にんにく,,noun,garlic
2811,順番,,noun,"turn, order"
2812,裁判所,,noun,"court, courthouse"
2813,観光,,noun,sightseeing
2813,観光する,,verb,go sightseeing
2814,申し訳,,noun,"excuse, apology"
2815,葉っぱ,,noun,leaf
2816,生き物,,noun,"creature, life"
2817,演出,,"noun, verb","direction, direct"
2818,ですが,,conjunction,"but, however"
2819,本気,,noun,"seriousness, earnestness"
2819,本気,,na-adjective,"serious, earnest"
2820,三年生,,noun,"third grade, third year"
2821,記入,,noun,entry
2821,記入する,,verb,fill in
2822,見上げる,,verb,look up; respect
2823,話し合い,,noun,"discussion, meeting"
2824,値,,noun,price
2825,一人暮らし,,noun,"living alone, single life"
2826,趣旨,,noun,"purpose, intention, point"
2827,柔らかい,,i-adjective,soft
2828,舌,,noun,tongue
2829,三時間,,noun,three hours
2830,後悔,,noun,"repentance, regret"
2830,後悔する,,verb,regret
2831,詰める,,verb,"plug, pack, stuff"
2832,勝利,,noun,"victory, triumph, winning"
2833,自覚,,noun,"consciousness, awareness"
2833,自覚する,,verb,realize
2834,今朝,,noun,this morning
2835,総合的,,na-adjective,"synthetic, integrated, comprehensive"
2836,美しさ,,noun,beauty
2837,法人,,noun,corporation
2838,滑る,すべる,verb,"slide, slip; be slippery"
2839,極端,,na-adjective,extreme
2840,留学,,noun,study abroad
2840,留学する,,verb,study abroad
2841,念,,noun,"sense, feeling"
2842,銀座,,noun,Ginza (place name)
2843,十五年,,noun,fifteen years
2844,漂う,,verb,"drift, float"
2845,測る,,verb,measure; weigh
2846,永遠,,noun,"eternity, permanence"
2847,十四日,,noun,fourteenth (date); fourteen days
2848,取り戻す,,verb,"take back, repossess"
2849,いっぺん,,noun,at the same time; altogether
2850,門,,noun,gate
2851,伸び,,noun,growth
2852,たどる,,verb,"follow, trace, search"
2853,事例,,noun,case
2854,どなた,,pronoun,who
2855,やばい,,i-adjective,"risky, chancy"
2856,冗談,,noun,joke
2857,巣,,noun,nest
2858,進展,,noun,"progress, development, evolution"
2858,進展する,,verb,"develop, progress, advance"
2859,手伝い,,noun,help
2860,死亡,,noun,"death, decease"
2860,死亡する,,verb,die
2861,細胞,,noun,cell
2862,犠牲,,noun,"sacrifice, expense"
2863,殴る,,verb,"hit, strike"
2864,前後,,noun,back and forth
2865,対立,,noun,"opposition, conflict"
2865,対立する,,verb,be opposed to
2866,六日,,noun,sixth (date); six days
2867,比率,,noun,"ratio, proportion"
2868,タイ,,noun,Thailand
2869,放つ,,verb,"fly, loose"
2870,香港,,noun,Hong Kong
2871,湖,,noun,lake
2872,稼ぐ,,verb,earn
2873,出現,,noun,"appearance, dawn, birth, advent"
2873,出現する,,verb,appear
2874,真実,,noun,"truth, reality"
2875,前回,,noun,"last time, previous time"
2876,工事,,noun,"construction, work"
2876,工事する,,verb,construct
2877,科学,,noun,science
2878,順,,noun,order
2879,読者,,noun,reader
2880,不足,,noun,"lack, shortage"
2880,不足する,,verb,be insufficient
2881,社会的,,na-adjective,social
2882,限定,,noun,"restriction, limitation"
2882,限定する,,verb,"restrict, limit"
2883,劇団,,noun,theatrical company
2884,看護婦,,noun,nurse (female)
2885,人参,,noun,carrot
2886,一面,,noun,"side, facet"
2887,生涯,,noun,"life, lifetime; career"
2888,意思,,noun,"will, intention"
2889,追加,,noun,"addition, supplement"
2889,追加する,,verb,"add, supplement"
2890,台湾,,noun,Taiwan
2891,日常生活,,noun,daily life
2892,拭く,,verb,"wipe, dry"
2893,レース,,noun,race
2894,民族,,noun,"people, race, nation"
2895,天,,noun,"sky, heaven"
2896,花火,,noun,firework
2897,項目,,noun,"item, heading"
2898,動向,,noun,"trend, movement"
2899,にしろ,,conjunctive particle,even if
2900,日頃,,noun,everyday
2901,砂,,noun,sand
2902,大根,,noun,"Japanese radish, radish"
2903,感激,,noun,deep emotion
2903,感激する,,verb,be impressed
2904,浮く,,verb,"float, suspend"
2905,まして,,adverb,"much less, much more"
2906,リスク,,noun,risk
2907,引っ掛かる,,verb,catch; be caught
2908,オークション,,noun,auction
2909,二十一日,,noun,twenty-first (date); twenty-one days
2910,ほら,,interjection,Look!
2911,を通して,,compound,according to; through
2912,武器,,noun,weapon
2913,都内,,noun,in the city
2914,違反,,noun,violation
2914,違反する,,verb,violate
2915,すっきり,,"adverb, verb",feel refreshed
2916,十二日,,noun,"twelfth (date), twelve days"
2917,別に,,adverb,(not) particularly
2918,十八日,,noun,eighteenth (date); eighteen days
2919,お宅,,noun,your house
2920,交通,,noun,traffic; transportation
2921,業界,,noun,business world
2922,解放,,noun,liberation
2922,解放する,,verb,liberate
2923,需要,,noun,demand
2924,高度,,noun,altitude
2924,高度,,na-adjective,"high, advanced"
2925,帰国,,"noun, verb",going/coming back to one’s own country
2926,午前中,,noun,"in the morning, throughout the morning"
2927,実践,,noun,practice
2927,実践する,,verb,practice
2928,深刻,,na-adjective,serious
2929,十八,,numeral,eighteen
2930,関係者,,noun,person concerned
2931,追いかける,,verb,"run after, chase"
2932,作用,,noun,action
2932,作用する,,verb,act
2933,毎週,,adverb,every week
2934,五つ,,numeral,five
2935,頻繁,,na-adjective,frequent
2936,差別,,noun,discrimination
2936,差別する,,verb,discriminate
2937,大声,,noun,loud voice
2938,長年,,adverb,long time; many years
2939,固まり,,noun,"mass, lump"
2940,快適,,na-adjective,comfortable
2941,あいつ,,pronoun,that fellow; that thing
2942,研修,,noun,training
2942,研修する,,verb,study
2943,沈む,,verb,"sink, go down"
2944,男子,,noun,"boy, man"
2945,爪,,noun,nail; claw
2946,青年,,noun,young man
2947,捕まえる,,verb,"catch, arrest"
2948,こいつ,,pronoun,this fellow; this thing
2949,氷,,noun,ice
2950,十七日,,noun,seventeenth (date); seventeen days
2951,鋭い,,i-adjective,"sharp, pointed"
2952,いじめる,,verb,"torment, bully, tease"
2953,業者,,noun,"dealer, agent, operator"
2954,大半,,noun,"better part, most part"
2955,作り上げる,,verb,"make up, build up"
2956,三つ目,,noun,third
2957,称する,,verb,call; pretend
2958,とすれば,,conjunctive particle,if that is the case
2959,支持,,noun,support
2959,支持する,,verb,support
2960,九日,,noun,ninth (date); nine days
2961,雌,,noun,female animal
2962,跡,,noun,"track, trail; mark, sign"
2963,トマト,,noun,tomato
2964,エピソード,,noun,"episode, anecdote"
2965,真,まこと,noun,"truth, fact"
2966,訪問,,noun,"visit, call"
2966,訪問する,,verb,"visit, call (on)"
2967,スピーチ,,noun,speech
2968,一見,,adverb,at a glance
2969,足元,,noun,at one’s feet; step
2970,台所,,noun,kitchen
2971,ねばならない,,compound,"must, have to"
2972,毛,,noun,hair; fur; wool
2973,一点,,noun,"point, single point"
2974,二十三日,,noun,twenty-third (date); twenty-three days
2975,支給,,noun,"provision, payment"
2975,支給する,,verb,"provide, pay"
2976,経費,,noun,"expense, cost"
2977,晴れる,,verb,"clear up, be dispelled; be refreshed"
2978,感心,,noun,admiration
2978,感心する,,verb,admire
2979,ポケット,,noun,pocket
2980,決意,,noun,determination
2980,決意する,,verb,resolve
2981,法則,,noun,law
2982,とはいえ,,conjunctive particle,"though, however"
2983,資産,,noun,"assets, property"
2984,慎重,,na-adjective,"careful, discreet"
2985,二十四日,,noun,twenty-fourth (date); twenty-four days
2986,尊敬,,noun,respect
2986,尊敬する,,verb,respect
2987,尽くす,,verb,"do one’s best, devote; exhaust"
2988,謎,,noun,"mystery, riddle"
2989,田んぼ,,noun,rice field
2990,評判,,noun,reputation; popularity
2991,寒さ,,noun,cold
2992,天井,,noun,ceiling
2993,池袋,,noun,Ikebukuro (place name)
2994,せめて,,adverb,"at least, at most"
2995,喫茶店,,noun,"tearoom, coffee shop, café"
2996,従業員,,noun,"employee, worker"
2997,嫁,,noun,wife; bride; daughter-in-law
2998,浮かべる,,verb,float; show; imagine
2999,災害,,noun,"disaster, calamity"
3000,国際的,,na-adjective,international
3001,髪の毛,,noun,hair
3002,ないといけない,,compound,"must, have to"
3003,加入,,noun,"admission, joining"
3003,加入する,,verb,join
3004,受け付け,,noun,"acceptance, information desk, reception (desk)"
3005,玉,たま,noun,ball; coin
3006,型,,noun,"model, pattern, type"
3007,順調,,na-adjective,"satisfactory, favorable, smooth"
3008,専門,,noun,"specialty, speciality"
3009,供給,,noun,supply
3009,供給する,,verb,supply
3010,振り,,noun,pretence
3011,売り上げ,,noun,sales
3012,建築,,noun,"architecture, construction"
3012,建築する,,verb,build
3013,利用者,,noun,user
3014,多様,,na-adjective,various
3015,地方公共団体,,noun,local public body
3016,じゃん,,discourse particle,isn’t it?
3017,鉄道,,noun,"railroad, railway"
3018,誕生日,,noun,birthday
3019,五十年,,noun,fifty years
3020,役員,,noun,"official, director"
3021,設備,,noun,"equipment, facilities"
3022,悪化,,noun,change for the worse
3022,悪化する,,verb,worsen
3023,用,,noun,something to do; use
3024,ただいま,,adverb,"now, just now, at once; I’m back!"
3025,十三日,,noun,thirteenth (date); thirteen days
3026,遺跡,,noun,"ruins, remains"
3027,消費,,noun,consumption
3027,消費する,,verb,consume
3028,模様,,noun,"pattern, design, look"
3029,深める,,verb,deepen
3030,パパ,,noun,"papa, dad"
3031,文,ぶん,noun,sentence
3032,中国人,,noun,Chinese (person)
3033,活性化,,noun,revitalization
3033,活性化する,,verb,revitalize
3034,聖書,,noun,Bible
3035,神経,,noun,nerve
3036,混乱,,noun,confusion
3036,混乱する,,verb,get confused
3037,ど,,particle,but (Classical)
3038,癒す,,verb,"heal, cure, recover from"
3039,磨く,,verb,"polish, brush; improve"
3040,動作,,noun,"movement, operation"
3040,動作する,,verb,operate
3041,コンサート,,noun,concert
3042,粉,,noun,"flour, powder"
3043,身長,,noun,height
3044,賛成,,noun,agreement
3044,賛成する,,verb,agree
3045,形態,,noun,form
3046,につれて,,compound,as
3047,部下,,noun,subordinate
3048,二十世紀,,noun,twentieth century
3049,ひょっとする,,verb,perhaps
3050,勤務,,noun,"service, duty, work"
3050,勤務する,,verb,"work, serve"
3051,恋愛,,noun,love (romantic)
3051,恋愛する,,verb,love
3052,都道府県,,noun,prefectures
3053,誤解,,noun,misunderstanding
3053,誤解する,,verb,misunderstand
3054,直前,,noun,just before
3055,平均,,noun,average
3055,平均する,,verb,average
3056,出身,,noun,hometown; alma mater
3057,区,,noun,"ward, district"
3058,しょう油,,noun,soy sauce
3059,こつ,,noun,knack
3060,翻訳,,noun,translation
3060,翻訳する,,verb,translate
3061,ぼおっと,,adverb,vacantly; dimly
3062,ソース,,noun,sauce; source
3063,二十二日,,noun,twenty-second (date); twenty-two days
3064,固まる,,verb,harden; become certain
3065,ステージ,,noun,stage
3066,ストーリー,,noun,story
3067,越す,,verb,"cross, pass"
3068,まとまる,,verb,be well arranged; be united; be settled
3069,始まり,,noun,"beginning, origin"
3070,解く,とく,verb,untie; solve; remove
3071,別れ,,noun,"parting, farewell"
3072,女房,,noun,wife
3073,才能,,noun,"talent, ability"
3074,背後,,noun,back; background
3075,通過,,noun,passage
3075,通過する,,verb,pass
3076,確信,,noun,conviction
3076,確信する,,verb,be convinced
3077,株,,noun,"stump; stock, share"
3078,いまさら,,adverb,now (after such a long time)
3079,強力,,na-adjective,"strong, powerful"
3080,神戸,,noun,Kobe
3081,見出だす,,verb,"find, discover"
3082,北朝鮮,,noun,"Democratic People’s Republic of Korea, North Korea"
3083,側面,,noun,side; flank
3084,誇り,,noun,"pride, honor"
3085,作り,,noun,"make, construction"
3086,米,べい,noun,meter
3087,崩壊,,noun,collapse
3087,崩壊する,,verb,collapse
3088,二十一,,noun,twenty-one
3089,直ちに,,adverb,"immediately, directly"
3090,バッグ,,noun,bag
3091,本書,,noun,this book
3092,器,,noun,container
3093,血液,,noun,blood
3094,衝撃,,noun,"shock, impact"
3095,嫌がる,,verb,be reluctant; hate
3096,製造,,noun,production
3096,製造する,,verb,produce
3097,とりわけ,,adverb,especially
3098,小麦粉,,noun,flour
3099,気配,,noun,"indication, sign"
3100,理論,,noun,theory
3101,流行,,noun,"fashion, epidemic"
3101,流行する,,verb,"come into fashion, be rife"
3102,見解,,noun,"opinion, view"
3103,承認,,noun,approval
3103,承認する,,verb,approve
3104,いかにも,,adverb,"indeed, really, just"
3105,単位,,noun,"unit, credit"
3106,掘る,,verb,dig
3107,歌詞,,noun,song lyrics
3108,絡む,,verb,"get entangled, involve; pick a quarrel"
3109,文明,,noun,civilization
3110,長崎,,noun,Nagasaki
3111,構える,,verb,"get set, get ready; set up"
3112,わー,,interjection,wow!
3113,発音,,noun,pronunciation
3113,発音する,,verb,pronounce
3114,共有,,noun,share
3114,共有する,,verb,share
3115,勝負,,noun,"victory or defeat, match"
3115,勝負する,,verb,play
3116,住まい,,noun,"house, residence"
3117,二十八日,,noun,twenty-eighth (date); twenty-eight days
3118,重大,,na-adjective,"serious, important"
3119,各国,,noun,"each country, various countries"
3120,無理矢理,,adverb,"forcibly, against one’s will"
3121,五百円,,noun,five hundred yen
3122,出品,,noun,exhibit
3122,出品する,,verb,submit
3123,祈る,,verb,"pray, wish"
3124,三番目,,noun,third
3125,メモ,,noun,memo
3125,メモする,,verb,take notes
3126,平日,,noun,weekday
3127,支払い,,noun,payment
3128,皮膚,,noun,skin
3129,反面,,noun,other side
3130,代表的,,na-adjective,"representative, typical"
3131,整う,,verb,be ready; be well-regulated
3132,初心者,,noun,beginner
3133,たどり着く,,verb,"finally arrive at, struggle along to"
3134,焼ける,,verb,be burned; be roasted; be sunburned
3135,合併,,noun,"combination, merger"
3135,合併する,,verb,"combine, merge"
3136,ウサギ,,noun,rabbit
3137,徹底,,noun,"thoroughgoing, out-and-out"
3137,徹底する,,verb,be thorough
3138,脱ぐ,,verb,take off
3139,八年,,noun,eight years
3140,ですけれど,,conjunction,but
3141,意,,noun,mind; will; sense
3142,自民党,,noun,Liberal Democratic Party
3143,地下,,noun,basement; underground
3144,構築,,noun,construction
3144,構築する,,verb,construct
3145,両者,,noun,"both, the two"
3146,適する,,verb,"suit, fit"
3147,引き受ける,,verb,undertake
3148,番号,,noun,number
3149,経営者,,noun,"manager, proprietor"
3150,焦る,,verb,be in a hurry; be impatient; be eager
3151,論文,,noun,"essay, thesis, paper, dissertation"
3152,タイミング,,noun,timing
